student_id,name,age,gender,attendance,internal_marks,assignment_marks,quiz_marks,study_hours_per_day,previous_semester_marks,participation,internet_access,parent_education,final_exam_marks
STU1045,Student_46,22,Female,72.3,40.1,26.2,33.6,3.1,64.9,Medium,No,High School,48.0
STU1046,Student_47,20,Female,54.3,22.4,25.0,34.3,4.0,41.1,Medium,Yes,High School,40.4
STU1047,Student_48,19,Male,87.0,28.1,22.2,12.2,2.3,55.0,Medium,Yes,High School,39.1
STU1048,Student_49,19,Female,53.2,33.4,7.4,27.8,0.4,51.5,Medium,Yes,Post Graduate,37.9
STU1049,Student_50,21,Female,78.3,33.4,15.3,45.2,2.6,77.1,Low,Yes,Graduate,57.2
STU1050,Student_51,21,Male,53.1,28.2,30.0,20.9,4.7,66.8,Low,Yes,High School,35.2
STU1051,Student_52,22,Female,74.2,18.0,31.7,18.2,2.7,45.7,Medium,Yes,Post Graduate,55.0
STU1052,Student_53,21,Male,97.7,44.9,44.7,35.5,1.9,78.2,Low,Yes,Post Graduate,63.0
STU1053,Student_54,17,Female,82.3,33.2,38.6,37.2,4.6,43.5,Low,Yes,Post Graduate,52.1
STU1054,Student_55,21,Male,67.6,35.1,23.1,25.7,2.7,70.0,Medium,Yes,Post Graduate,58.4
STU1055,Student_56,17,Female,77.6,24.2,12.9,22.7,2.4,52.8,High,Yes,High School,35.2
STU1056,Student_57,21,Female,78.2,37.9,34.3,26.1,3.4,59.5,Medium,Yes,Post Graduate,51.1
STU1057,Student_58,22,Male,83.7,35.4,42.8,40.4,4.4,72.6,Low,Yes,Graduate,58.2
STU1058,Student_59,22,Male,61.6,52.0,46.5,59.8,6.8,72.8,Low,Yes,Post Graduate,78.5
STU1059,Student_60,17,Male,85.1,41.4,20.6,36.2,4.4,85.1,High,Yes,Post Graduate,67.1
STU1060,Student_61,20,Male,45.5,33.0,25.9,47.7,4.9,63.8,Low,Yes,Post Graduate,56.6
STU1061,Student_62,22,Male,70.4,29.9,30.1,23.4,2.4,69.6,Low,No,Graduate,41.7
STU1062,Student_63,20,Male,72.1,25.5,29.6,16.7,1.7,58.4,Medium,Yes,High School,45.2
STU1063,Student_64,19,Male,85.6,36.6,39.6,40.9,3.3,67.7,Medium,Yes,Graduate,68.5
STU1064,Student_65,17,Male,78.3,40.7,35.0,43.4,3.4,71.6,Medium,Yes,Doctorate,68.4
STU1065,Student_66,22,Female,61.1,0.7,29.5,33.1,1.6,63.5,Low,Yes,Doctorate,41.2
STU1066,Student_67,18,Female,66.2,17.4,21.4,11.1,2.9,37.9,Low,Yes,High School,36.3
STU1067,Student_68,19,Male,80.4,36.3,40.9,32.0,3.8,70.0,High,Yes,High School,62.8
STU1068,Student_69,20,Female,77.1,51.3,37.1,43.4,3.7,70.5,Low,Yes,High School,60.1
STU1069,Student_70,22,Female,71.1,25.3,29.8,32.8,4.0,54.8,Medium,Yes,Post Graduate,58.9
STU1070,Student_71,17,Female,72.2,30.4,22.3,18.4,3.6,45.7,Medium,Yes,Post Graduate,53.7
STU1071,Student_72,21,Female,86.4,54.0,37.3,39.9,2.4,87.1,Medium,No,High School,59.8
STU1072,Student_73,18,Male,71.8,25.7,36.2,24.9,2.4,72.4,Medium,Yes,Graduate,55.2
STU1073,Student_74,20,Female,76.9,32.0,27.7,40.2,1.4,61.6,Low,Yes,Post Graduate,46.2
STU1074,Student_75,19,Male,100.0,30.4,35.3,51.9,5.9,47.9,Medium,Yes,Post Graduate,56.4
STU1075,Student_76,17,Female,60.9,26.6,39.9,34.0,3.2,52.7,High,No,Graduate,48.5
STU1076,Student_77,18,Female,55.8,36.1,39.5,49.2,2.9,84.5,High,Yes,Graduate,62.6
STU1077,Student_78,17,Female,87.4,26.4,21.5,27.9,1.8,67.1,Low,Yes,Graduate,35.8
STU1078,Student_79,22,Male,69.9,67.3,47.7,54.3,7.6,56.7,Low,No,High School,70.3
STU1079,Student_80,21,Female,74.2,40.6,15.7,41.5,1.6,72.6,High,No,Graduate,36.9
STU1080,Student_81,19,Male,68.6,37.7,14.2,28.4,2.6,52.8,Medium,No,Graduate,60.5
STU1081,Student_82,17,Female,74.9,50.3,43.5,39.2,3.8,87.5,High,Yes,Post Graduate,80.4
STU1082,Student_83,20,Male,97.2,33.6,45.3,26.6,4.1,85.3,Low,Yes,Graduate,59.2
STU1083,Student_84,22,Female,87.6,40.2,19.3,35.1,4.6,58.0,Medium,Yes,Post Graduate,57.7
STU1084,Student_85,22,Male,88.3,48.5,30.4,47.7,5.9,55.6,Medium,No,High School,60.8
STU1085,Student_86,19,Male,61.0,15.5,12.9,32.2,4.0,25.7,Medium,Yes,Graduate,33.9
STU1086,Student_87,22,Female,64.2,29.6,14.1,23.8,1.6,42.8,Medium,Yes,High School,38.1
STU1087,Student_88,20,Male,43.9,32.0,32.2,19.8,2.8,44.9,Low,Yes,High School,36.6
STU1088,Student_89,17,Female,68.3,52.7,39.8,17.1,3.7,67.0,Medium,Yes,Post Graduate,58.5
STU1089,Student_90,19,Female,89.5,39.6,36.6,38.8,6.3,60.1,Low,Yes,Doctorate,63.9
STU1090,Student_91,22,Female,84.2,12.4,13.0,15.1,1.1,44.8,Medium,Yes,High School,25.6
STU1091,Student_92,22,Female,75.3,36.4,20.3,35.4,5.0,60.8,High,Yes,Graduate,58.6
STU1092,Student_93,20,Female,77.7,51.0,48.4,41.3,3.5,72.6,Medium,Yes,Post Graduate,66.6
STU1093,Student_94,21,Female,69.7,28.0,42.7,57.7,4.5,72.9,High,Yes,High School,63.6
STU1094,Student_95,21,Female,80.5,7.1,13.2,24.1,3.0,36.5,Low,Yes,Graduate,32.9
STU1095,Student_96,22,Female,87.2,31.7,34.0,24.6,1.9,63.1,Medium,Yes,Post Graduate,59.3
STU1096,Student_97,17,Female,58.6,27.0,25.5,28.1,4.3,44.2,High,Yes,Graduate,46.8
STU1097,Student_98,19,Female,81.6,44.1,35.1,41.5,4.2,78.5,Low,Yes,High School,59.9
STU1098,Student_99,22,Female,89.2,52.4,43.0,34.4,4.7,76.8,Low,Yes,Graduate,71.4
STU1099,Student_100,18,Male,73.0,25.8,18.6,29.3,3.2,51.5,Medium,Yes,Post Graduate,47.4
STU1100,Student_101,19,Male,86.4,13.3,21.0,29.3,2.3,53.5,Low,Yes,Graduate,42.1
STU1101,Student_102,21,Female,100.0,42.3,23.8,22.9,0.9,58.1,Medium,Yes,High School,46.2
STU1102,Student_103,22,Female,76.7,17.7,16.9,31.1,4.4,31.2,High,Yes,Post Graduate,54.4
STU1103,Student_104,20,Female,82.7,30.9,40.7,40.1,3.8,70.0,Medium,Yes,High School,55.1
STU1104,Student_105,18,Female,69.1,38.6,44.5,9.5,1.8,60.9,Low,Yes,Post Graduate,55.3
STU1105,Student_106,22,Female,80.2,36.0,26.3,39.2,2.4,79.6,Medium,No,High School,52.1
STU1106,Student_107,17,Female,83.5,26.4,6.6,18.5,2.5,48.5,Medium,Yes,Doctorate,39.4
STU1107,Student_108,18,Female,80.3,29.1,2.0,10.8,1.0,55.7,Low,No,Graduate,37.8
STU1108,Student_109,22,Female,65.8,31.6,18.3,10.8,2.0,42.4,Medium,Yes,High School,35.0
STU1109,Student_110,17,Male,80.5,21.8,14.6,24.9,1.5,49.9,Medium,Yes,High School,42.5
STU1110,Student_111,18,Female,95.5,38.9,25.1,22.6,2.6,47.3,Medium,Yes,High School,30.1
STU1111,Student_112,17,Male,83.4,21.2,34.5,17.2,2.1,79.9,Low,Yes,Post Graduate,50.5
STU1112,Student_113,17,Female,89.5,30.3,5.0,23.9,0.8,54.5,Medium,Yes,Doctorate,41.8
STU1113,Student_114,18,Female,75.2,38.6,20.8,31.9,6.2,66.9,Low,Yes,Graduate,49.9
STU1114,Student_115,18,Male,87.0,50.0,36.5,39.4,5.1,59.3,Low,Yes,Graduate,55.8
STU1115,Student_116,17,Female,81.4,25.5,22.5,23.9,2.0,46.0,High,No,Post Graduate,42.3
STU1116,Student_117,21,Male,66.6,30.4,26.6,41.1,3.6,62.5,Medium,No,Post Graduate,52.4
STU1117,Student_118,18,Female,81.8,46.3,18.8,53.4,3.8,74.0,Low,No,Graduate,48.2
STU1118,Student_119,22,Female,66.1,40.9,33.6,21.8,5.0,46.9,Low,Yes,Graduate,50.7
STU1119,Student_120,19,Male,70.4,42.0,44.7,30.7,2.0,77.1,Low,Yes,Graduate,62.2
STU1120,Student_121,20,Female,80.3,27.1,33.1,32.4,4.8,52.3,Low,No,Graduate,49.6
STU1121,Student_122,17,Male,81.6,26.4,17.8,30.8,2.4,57.8,Low,Yes,High School,46.8
STU1122,Student_123,17,Female,63.7,32.8,29.0,28.6,1.2,73.0,Low,Yes,Graduate,52.8
STU1123,Student_124,20,Male,90.6,34.6,16.3,30.5,4.3,55.0,Medium,Yes,Graduate,59.8
STU1124,Student_125,21,Male,84.9,47.5,46.3,36.1,5.1,65.6,Medium,Yes,Post Graduate,77.2
STU1125,Student_126,20,Female,69.5,29.3,39.7,36.4,7.1,60.3,Medium,No,High School,53.5
STU1126,Student_127,18,Female,59.5,33.6,9.2,34.6,1.4,66.9,Medium,Yes,Graduate,41.5
STU1127,Student_128,20,Male,76.3,22.0,17.7,29.7,4.2,29.3,Low,Yes,Graduate,43.6
STU1128,Student_129,17,Female,72.6,16.1,24.3,29.9,2.6,37.6,High,Yes,Graduate,47.5
STU1129,Student_130,20,Female,79.4,36.9,33.6,37.1,4.4,74.2,High,Yes,High School,65.9
STU1130,Student_131,19,Female,73.6,33.5,28.0,22.3,1.0,80.6,High,Yes,Graduate,65.1
STU1131,Student_132,22,Male,53.9,0.0,9.0,10.9,1.3,51.3,High,No,Graduate,31.9
STU1132,Student_133,18,Male,73.3,24.9,32.1,29.6,2.0,61.3,High,Yes,Graduate,53.4
STU1133,Student_134,20,Male,74.3,30.7,26.1,24.7,3.3,69.4,Medium,Yes,Graduate,46.3
STU1134,Student_135,17,Male,85.6,41.0,10.3,48.1,2.2,75.4,Low,Yes,Graduate,65.6
STU1135,Student_136,22,Male,,,,15.4,,34.6,Medium,No,Post Graduate,38.1
STU1136,Student_137,18,Male,98.1,33.1,39.7,36.8,4.7,51.7,Medium,Yes,High School,53.4
STU1137,Student_138,17,Male,55.1,48.6,27.4,48.5,4.1,60.0,Medium,No,Post Graduate,54.7
STU1138,Student_139,21,Male,93.7,55.0,57.8,50.4,5.6,75.5,Medium,Yes,Graduate,69.8
STU1139,Student_140,19,Male,75.3,58.6,48.8,46.8,3.8,100.0,Low,Yes,High School,63.8
STU1140,Student_141,21,Female,88.3,24.8,28.4,15.4,1.4,61.6,Medium,Yes,High School,40.4
STU1141,Student_142,19,Male,79.0,37.5,27.1,21.5,5.2,43.9,High,Yes,High School,43.9
STU1142,Student_143,20,Female,91.7,33.4,29.9,37.4,2.3,71.0,Medium,Yes,Post Graduate,52.6
STU1143,Student_144,18,Female,73.4,46.2,38.5,57.4,4.6,84.8,Medium,Yes,Post Graduate,82.1
STU1144,Student_145,20,Female,64.8,46.7,34.3,38.4,5.6,66.6,Low,Yes,Post Graduate,65.0
STU1145,Student_146,19,Male,95.0,27.5,33.0,20.8,3.9,51.4,Medium,No,Graduate,54.3
STU1146,Student_147,19,Male,76.6,46.7,20.9,5.7,1.0,79.4,High,Yes,Graduate,59.9
STU1147,Student_148,19,Male,80.7,34.1,20.0,20.9,1.8,75.0,Medium,Yes,High School,59.4
STU1148,Student_149,22,Male,92.8,40.4,19.1,34.7,5.2,49.6,High,No,High School,43.6
STU1149,Student_150,17,Female,65.6,48.6,52.5,47.2,2.9,70.7,Medium,Yes,Graduate,54.3
STU1150,Student_151,18,Male,85.1,50.2,41.6,43.3,3.3,80.0,Medium,Yes,High School,58.1
STU1151,Student_152,20,Male,70.9,34.7,42.7,44.8,4.3,82.7,Low,No,High School,53.6
STU1152,Student_153,20,Male,76.4,41.8,22.3,32.4,4.2,64.0,Medium,Yes,Graduate,53.8
STU1153,Student_154,21,Male,78.9,41.4,36.1,27.0,3.6,59.6,Medium,Yes,Post Graduate,54.1
STU1154,Student_155,19,Male,60.0,49.2,35.3,49.3,2.9,83.4,Medium,Yes,Doctorate,66.5
STU1155,Student_156,19,Female,68.7,17.9,25.3,26.6,2.7,46.8,Medium,Yes,Doctorate,45.5
STU1156,Student_157,19,Male,94.2,36.9,26.5,20.6,4.5,71.6,High,Yes,Graduate,56.4
STU1157,Student_158,20,Female,88.6,37.7,27.1,23.3,4.0,44.4,Low,Yes,Graduate,34.0
STU1158,Student_159,21,Male,77.2,34.7,31.1,27.8,2.8,81.0,High,No,Graduate,51.4
STU1159,Student_160,17,Female,80.9,36.4,25.7,32.6,4.8,61.1,Low,Yes,Post Graduate,51.7
STU1160,Student_161,22,Male,74.5,55.2,44.2,42.3,3.0,84.0,Medium,Yes,High School,62.0
STU1161,Student_162,18,Male,94.3,34.3,14.7,28.4,1.9,72.4,Low,Yes,Graduate,41.9
STU1162,Student_163,17,Female,75.6,19.2,27.2,21.7,2.1,46.7,Medium,Yes,Post Graduate,40.7
STU1163,Student_164,20,Female,80.8,32.6,41.3,44.5,1.7,86.4,Medium,Yes,Graduate,52.7
STU1164,Student_165,22,Female,91.8,46.4,29.1,31.4,2.8,88.3,Low,Yes,Graduate,58.5
STU1165,Student_166,22,Male,68.7,35.9,31.9,60.6,5.1,78.2,Medium,Yes,Graduate,58.2
STU1166,Student_167,22,Female,96.7,25.5,21.5,18.0,2.0,53.6,High,Yes,High School,41.0
STU1167,Student_168,19,Male,59.6,37.3,32.7,32.9,3.5,60.4,Low,No,Graduate,39.5
STU1168,Student_169,18,Male,97.6,43.9,27.5,26.4,2.2,67.2,High,Yes,High School,54.9
STU1169,Student_170,20,Female,73.5,35.5,30.4,28.6,2.8,54.4,Medium,No,High School,40.3
STU1170,Student_171,20,Female,75.1,33.1,51.5,34.7,0.9,90.4,Medium,Yes,High School,61.9
STU1171,Student_172,22,Male,55.3,45.0,25.7,35.7,2.9,67.2,Low,No,Post Graduate,52.8
STU1172,Student_173,20,Male,72.5,16.1,0.0,12.1,2.9,24.4,Low,Yes,High School,25.8
STU1173,Student_174,18,Female,65.5,30.2,42.8,26.9,4.0,70.1,Low,Yes,Graduate,47.8
STU1174,Student_175,18,Female,70.7,33.0,46.5,54.5,3.5,59.8,Low,Yes,High School,55.1
STU1175,Student_176,21,Female,76.4,41.3,29.8,20.4,1.4,63.9,Low,Yes,Doctorate,53.3
STU1176,Student_177,21,Male,89.5,39.5,21.9,43.3,4.8,59.5,Medium,Yes,High School,57.0
STU1177,Student_178,17,Male,80.5,41.4,34.5,22.7,3.5,77.1,High,Yes,Graduate,70.8
STU1178,Student_179,18,Male,81.7,56.3,26.2,36.0,3.5,81.8,High,Yes,Post Graduate,71.0
STU1179,Student_180,18,Male,64.9,25.8,38.6,32.4,3.2,69.2,Medium,Yes,Post Graduate,60.5
STU1180,Student_181,18,Male,67.4,20.9,13.5,31.8,2.4,59.9,Low,Yes,High School,40.3
STU1181,Student_182,21,Male,99.6,23.3,28.3,8.8,3.5,64.4,Low,Yes,Post Graduate,53.3
STU1182,Student_183,22,Female,69.2,40.8,22.6,36.7,3.9,65.3,Medium,Yes,Graduate,50.3
STU1183,Student_184,22,Male,97.9,24.3,21.3,8.0,0.6,53.0,Low,Yes,Graduate,34.7
STU1184,Student_185,20,Male,75.1,49.0,28.1,34.6,2.4,73.7,Medium,Yes,High School,57.0
STU1185,Student_186,22,Male,78.0,39.1,33.9,23.4,2.8,71.9,Medium,No,High School,52.8
STU1186,Student_187,19,Female,90.8,42.8,40.1,33.1,3.6,88.1,Medium,Yes,Post Graduate,69.9
STU1187,Student_188,21,Male,93.3,48.5,32.0,42.7,5.0,83.8,Medium,Yes,Graduate,74.8
STU1188,Student_189,18,Male,76.7,28.8,30.4,14.9,2.0,54.7,High,Yes,Graduate,39.4
STU1189,Student_190,22,Female,73.3,25.0,32.8,28.9,2.5,77.3,High,No,Post Graduate,50.1
STU1190,Student_191,21,Male,,,,14.1,,50.7,Medium,Yes,Post Graduate,49.6
STU1191,Student_192,22,Male,82.1,40.3,53.8,14.1,2.0,75.4,High,Yes,High School,53.0
STU1192,Student_193,17,Male,88.7,32.7,31.6,37.2,2.7,57.3,High,Yes,Graduate,75.7
STU1193,Student_194,18,Male,78.1,38.0,26.9,20.8,4.4,49.7,Medium,Yes,High School,51.9
STU1194,Student_195,17,Male,85.4,38.2,42.4,25.6,1.6,69.2,Medium,Yes,Post Graduate,55.4
STU1195,Student_196,18,Female,97.7,20.2,36.6,29.4,3.8,24.9,Medium,No,Graduate,39.4
STU1196,Student_197,21,Female,82.6,12.2,13.6,8.5,0.6,38.7,High,No,Doctorate,33.0
STU1197,Student_198,20,Female,81.7,36.9,31.3,20.9,2.4,62.3,High,Yes,High School,51.9
STU1198,Student_199,22,Male,59.8,37.7,20.0,32.7,2.7,66.2,Low,Yes,High School,46.0
STU1199,Student_200,22,Male,46.4,34.4,33.6,50.7,5.7,59.5,Medium,No,High School,50.7
STU1200,Student_201,19,Male,82.7,36.3,19.5,13.1,2.8,41.3,Medium,Yes,High School,39.7
STU1201,Student_202,17,Female,76.9,23.4,20.3,14.5,0.0,52.7,Medium,Yes,High School,43.8
STU1202,Student_203,22,Male,71.8,34.8,28.6,6.5,0.2,70.9,Low,Yes,Post Graduate,51.8
STU1203,Student_204,21,Male,80.9,50.5,39.6,31.8,3.3,73.7,High,Yes,High School,63.4
STU1204,Student_205,20,Female,77.3,38.4,35.3,36.1,4.1,64.8,Medium,Yes,High School,47.5
STU1205,Student_206,21,Male,91.5,46.9,26.2,32.2,3.8,82.4,High,Yes,Post Graduate,70.7
STU1206,Student_207,17,Female,79.0,45.4,24.2,31.2,3.5,71.0,High,No,Graduate,67.4
STU1207,Student_208,19,Female,69.0,30.4,25.6,23.1,4.9,53.8,Medium,No,Post Graduate,58.8
STU1208,Student_209,22,Female,89.9,32.0,24.5,28.5,2.4,60.8,Medium,Yes,High School,52.7
STU1209,Student_210,21,Male,75.4,32.1,37.2,40.7,4.5,44.0,Medium,Yes,Graduate,61.2
STU1210,Student_211,18,Male,84.3,20.1,12.6,12.3,0.8,63.4,Low,No,High School,34.0
STU1211,Student_212,20,Male,72.3,56.6,29.5,26.1,1.8,81.7,Medium,No,High School,57.7
STU1212,Student_213,21,Male,70.2,20.4,37.1,29.1,0.5,75.3,Low,Yes,Post Graduate,42.8
STU1213,Student_214,20,Male,79.0,32.4,34.1,47.9,2.8,86.0,Medium,No,High School,58.5
STU1214,Student_215,22,Male,78.2,44.0,33.5,17.1,3.1,60.5,Low,No,Graduate,55.5
STU1215,Student_216,18,Male,83.8,50.0,36.9,37.6,3.4,85.2,Low,Yes,Graduate,58.1
STU1216,Student_217,19,Female,74.8,26.5,32.6,34.4,3.3,62.1,Low,Yes,High School,41.8
STU1217,Student_218,19,Male,56.0,45.1,32.7,32.4,1.8,87.1,Low,Yes,Post Graduate,56.3
STU1218,Student_219,18,Female,72.8,46.3,36.6,8.7,2.9,64.7,Medium,Yes,High School,49.0
STU1219,Student_220,20,Male,87.5,33.0,13.5,31.2,1.0,75.6,Medium,Yes,Graduate,53.8
STU1220,Student_221,22,Male,74.4,71.2,39.9,60.6,5.2,87.1,Medium,No,Doctorate,74.2
STU1221,Student_222,21,Male,75.0,19.1,31.5,30.5,2.7,62.1,Low,Yes,Graduate,55.9
STU1222,Student_223,18,Female,89.8,40.4,35.5,21.2,2.5,68.3,Low,Yes,Doctorate,46.9
STU1223,Student_224,17,Female,69.5,59.9,58.4,43.1,5.6,84.3,Low,Yes,High School,76.0
STU1224,Student_225,20,Female,59.5,36.2,21.4,40.0,1.3,63.0,Low,Yes,Graduate,40.2
STU1225,Student_226,19,Female,76.1,20.9,34.4,27.7,1.5,45.2,High,No,High School,30.6
STU1226,Student_227,18,Male,72.2,41.3,31.4,41.3,1.6,97.1,Low,Yes,Post Graduate,61.3
STU1227,Student_228,19,Female,66.4,36.1,41.3,33.0,3.1,58.0,Medium,Yes,Doctorate,54.2
STU1228,Student_229,20,Male,75.9,44.9,41.3,29.5,3.8,67.4,Low,Yes,High School,47.0
STU1229,Student_230,19,Male,83.9,50.6,30.4,40.1,4.3,82.3,Low,Yes,Graduate,52.2
STU1230,Student_231,18,Female,77.9,52.0,40.4,44.5,7.1,55.9,Medium,Yes,High School,64.0
STU1231,Student_232,20,Female,81.7,11.8,17.0,19.9,0.0,49.9,Medium,Yes,Graduate,41.4
STU1232,Student_233,17,Female,99.8,38.0,40.6,50.6,4.1,68.8,Low,Yes,Graduate,64.2
STU1233,Student_234,18,Female,73.9,14.9,17.1,31.1,2.4,38.1,Low,Yes,Doctorate,39.3
STU1234,Student_235,21,Female,81.3,28.1,23.9,14.6,2.3,60.7,Medium,Yes,Graduate,49.2
STU1235,Student_236,22,Female,71.9,42.5,43.5,31.8,2.3,68.7,Low,Yes,High School,50.6
STU1236,Student_237,18,Female,67.8,30.7,24.9,32.1,1.8,61.0,Low,No,High School,31.7
STU1237,Student_238,20,Female,71.0,54.7,37.1,40.9,5.7,41.8,High,Yes,High School,51.1
STU1238,Student_239,22,Male,72.3,50.6,40.1,39.0,4.5,88.9,Medium,Yes,High School,64.2
STU1239,Student_240,18,Female,,,,59.0,,66.6,Medium,Yes,High School,58.7
STU1240,Student_241,17,Female,100.0,51.0,36.5,35.3,5.2,86.5,Medium,Yes,Post Graduate,77.1
STU1241,Student_242,17,Male,69.4,22.0,17.5,12.2,0.9,61.1,Medium,Yes,Graduate,44.4
STU1242,Student_243,21,Female,73.0,23.9,36.4,22.4,1.2,51.8,Medium,Yes,Graduate,46.9
STU1243,Student_244,19,Male,77.2,36.6,19.7,39.8,0.0,69.0,Medium,No,High School,42.5
STU1244,Student_245,22,Male,82.7,32.2,43.1,19.8,2.2,61.8,Medium,Yes,Post Graduate,44.7
STU1245,Student_246,20,Female,81.2,22.8,34.0,25.4,3.4,47.3,Low,Yes,Post Graduate,48.7
STU1246,Student_247,20,Male,93.4,37.6,37.4,49.4,3.4,87.0,Medium,Yes,High School,66.6
STU1247,Student_248,19,Male,48.9,28.9,9.9,30.1,3.4,55.7,Medium,No,Post Graduate,30.1
STU1248,Student_249,17,Male,49.4,18.9,15.6,12.6,1.1,37.4,High,Yes,Graduate,29.5
STU1249,Student_250,17,Male,72.0,56.7,41.7,48.2,4.4,84.9,Medium,Yes,High School,62.9
STU1250,Student_251,18,Female,91.2,23.0,40.8,34.1,3.6,57.4,Medium,Yes,Graduate,54.2
STU1251,Student_252,21,Male,59.2,32.7,46.2,43.2,4.3,55.9,Low,Yes,Graduate,47.6
STU1252,Student_253,22,Female,41.9,17.8,7.6,24.8,0.4,38.5,Medium,Yes,High School,27.8
